Country,CO2_1992,CO2_1993,CO2_1994,CO2_1995,CO2_1996,CO2_1997,CO2_1998,CO2_1999,CO2_2000,CO2_2001,CO2_2002,CO2_2003,CO2_2004,CO2_2005,CO2_2006,CO2_2007,CO2_2008,CO2_2009,CO2_2010,CO2_2011,CO2_2012,CO2_2013,lat,lon
Brazil,220705.73,230738.64,242154.01,258347.48,284782.89,300547.32,312289.05,320173.10,327983.81,337433.67,332266.87,321621.57,337826.04,347308.90,347668.27,363212.68,387631.24,367147.37,419754.16,439412.94,470028.73,503677.12,-10.80677364,-53.05434004
Canada,441114.43,445679.85,456955.87,467703.85,479419.91,495294.36,506456.70,515462.86,534483.59,527926.99,519335.21,553185.29,552349.21,551758.82,537780.22,540889.83,539085.67,498957.69,492588.11,497329.54,481601.78,475734.58,61.46907615,-98.14238137
China,2695982.07,2878694.01,3058241.33,3320285.15,3463089.13,3469510.05,3324344.52,3318055.61,3405179.87,3487566.36,3694242.14,4525177.01,5288166.03,5790016.98,6414463.08,6791804.71,7175658.94,7618683.88,8767877.67,9724590.64,10020744.89,10249463.02,36.55506854,103.8836163
Germany,891975.75,877645.11,865558.68,864110.22,889614.20,862276.72,855364.42,822460.43,829977.78,853662.93,829724.76,822812.46,816802.25,797180.13,816472.22,780546.62,780564.95,721940.63,758537.29,732120.22,739300.20,757312.51,51.13372269,10.28848509
France,365819.92,359861.05,338093.73,349116.74,375280.78,351507.62,377381.97,368804.86,362090.58,377389.31,374917.75,380520.92,383579.20,385170.68,375552.14,368914.87,366069.28,351632.30,352769.07,331537.14,332956.27,333190.95,46.53596205,2.446568701
United Kingdom,556280.23,545711.94,546738.70,538117.58,551436.13,527343.94,531905.68,530937.60,541784.58,545862.29,528642.05,540006.09,539239.68,542580.32,541458.22,528425.70,520072.28,471400.18,493607.54,447935.05,467197.80,457472.92,53.91477348,-2.853135395
India,699087.88,723697.12,764730.85,811562.11,882324.20,917685.09,936221.77,995766.52,1031853.46,1041152.98,1054258.83,1099597.62,1154320.26,1222563.13,1303717.51,1407607.29,1568379.57,1738645.71,1719690.99,1846763.54,2018503.82,2034752.29,22.92500641,79.59370376
"Iran, Islamic Rep.",228927.14,237533.59,265611.81,273338.18,276510.14,269770.19,308988.75,382512.10,372479.19,398657.91,401991.21,418639.39,447245.66,468990.97,509562.65,560900.65,581945.57,591432.10,605216.35,619165.62,643862.86,616976.42,32.51891732,54.2854515
Japan,1123847.49,1109887.22,1173315.32,1183447.24,1204690.17,1200788.49,1157829.58,1196516.43,1220527.95,1203377.39,1220047.57,1242093.57,1266009.75,1239255.32,1231495.94,1252229.16,1210135.67,1103693.66,1171841.19,1191056.27,1229574.44,1243384.36,37.66311081,138.0649621
Mexico,328698.88,330448.04,348133.98,328291.84,341482.04,359046.97,374063.34,382607.45,382508.44,395636.30,391859.29,405918.57,411767.43,435437.92,445291.14,458866.38,474491.47,450582.63,445162.80,466779.76,480883.05,488602.08,23.9353719,-102.5763495
Peru,20388.52,23556.81,23230.45,23883.17,24363.55,27407.16,27806.86,29358.00,30296.75,27165.14,27187.14,26380.40,31895.57,37135.71,34876.84,42955.24,41015.40,51704.70,57593.90,49632.85,54520.96,57153.86,-9.191562905,-74.39180582
Russian Federation,2078668.29,1938445.87,1698378.38,1631473.97,1612966.62,1526011.05,1495505.28,1531130.18,1557899.28,1557506.91,1557085.21,1604242.83,1602115.97,1615089.81,1669262.40,1666886.19,1714978.89,1574045.08,1675026.93,1768073.39,1835608.53,1789074.30,61.98533534,98.94813742
Saudi Arabia,285534.62,313818.19,309018.09,236253.81,258750.85,216239.32,207680.55,226459.25,296935.33,297214.02,326407.00,327272.42,395834.32,397642.15,432739.00,387777.92,430175.77,468767.28,520552.65,500728.85,565997.78,541428.88,24.12328984,44.51636377
United States,4911103.09,5032931.83,5098475.79,5138009.72,5260696.54,5375235.28,5410918.86,5510430.24,5701829.30,5601404.84,5648727.47,5679222.25,5763456.90,5795161.79,5703871.82,5794923.43,5622464.42,5274128.76,5408869.00,5305279.92,5115806.03,5186168.43,39.50155413,-99.06024063
South Africa,307822.65,321104.52,337576.69,360363.42,365431.22,377855.01,377726.67,375236.78,378665.42,372042.82,356637.75,404459.10,450186.59,416915.90,447894.71,467436.16,497593.57,503262.75,474099.10,475037.85,472071.25,471238.84,-28.94703326,25.04801388
