Name,WOE_ID,WOE_ID_EH,NAME_LEN,LONG_LEN,ABBREV_LEN,TINY,HOMEPART,Rank,Color
United States,23424977,23424977,13,13,6,-99,1,4,#2c7bb6
India,23424848,23424848,5,5,5,-99,1,4,#2c7bb6
Russian Federation,23424936,23424936,6,18,4,-99,1,3,#abd9e9
Canada,23424775,23424775,6,6,4,-99,1,2,#fdae61
"Iran, Islamic Rep.",23424851,23424851,4,4,4,-99,1,3,#abd9e9
Peru,23424919,23424919,4,4,4,-99,1,0,#a5a5a5
Saudi Arabia,23424938,23424938,12,12,5,-99,1,1,#d7191c
China,23424781,23424781,5,5,5,-99,1,4,#2c7bb6
France,-90,23424819,6,6,3,-99,1,4,#2c7bb6
Mexico,23424900,23424900,6,6,4,-99,1,4,#2c7bb6
Germany,23424829,23424829,7,7,4,-99,1,4,#2c7bb6
United Kingdom,-90,23424975,14,14,4,-99,1,4,#2c7bb6
South Africa,23424942,23424942,12,12,5,-99,1,3,#abd9e9
Japan,23424856,23424856,5,5,5,-99,1,1,#d7191c
Brazil,23424768,23424768,6,6,6,-99,1,3,#abd9e9
